title	url	rating	metascore	votes	runtime
Hunter Killer	https://www.imdb.com//title/tt1846589/?ref_=adv_li	6.8	43	11762	122
Won't You Be My Neighbor?	https://www.imdb.com//title/tt7681902/?ref_=adv_li	8.5	85	11750	94
Cam	https://www.imdb.com//title/tt8361028/?ref_=adv_li	6.0	71	11637	94
The Sisters Brothers	https://www.imdb.com//title/tt4971344/?ref_=adv_li	7.1	78	11436	121
Suspiria	https://www.imdb.com//title/tt1034415/?ref_=adv_li	7.3	64	11134	152
Ibiza	https://www.imdb.com//title/tt3685236/?ref_=adv_li	5.2	56	11127	94
Destination Wedding	https://www.imdb.com//title/tt6987770/?ref_=adv_li	6.0	46	10753	90
Bad Samaritan	https://www.imdb.com//title/tt3203528/?ref_=adv_li	6.4	42	10714	110
Dumplin'	https://www.imdb.com//title/tt4878482/?ref_=adv_li	6.9	53	10536	110
The Night Comes for Us	https://www.imdb.com//title/tt6116856/?ref_=adv_li	7.1	69	10523	121
Every Day	https://www.imdb.com//title/tt7026672/?ref_=adv_li	6.4	52	10406	97
Blindspotting	https://www.imdb.com//title/tt7242142/?ref_=adv_li	7.4	77	10147	95
Alex Strangelove	https://www.imdb.com//title/tt5688996/?ref_=adv_li	6.3	62	9929	99
I Can Only Imagine	https://www.imdb.com//title/tt6450186/?ref_=adv_li	7.4	30	9880	110
Teen Titans Go! To the Movies	https://www.imdb.com//title/tt7424200/?ref_=adv_li	6.8	69	9823	84
Unfriended: Dark Web	https://www.imdb.com//title/tt4761916/?ref_=adv_li	5.8	53	9768	92
Don't Worry, He Won't Get Far on Foot	https://www.imdb.com//title/tt6288124/?ref_=adv_li	6.9	67	9762	114
The Nutcracker and the Four Realms	https://www.imdb.com//title/tt5523010/?ref_=adv_li	5.6	39	9583	99
A Futile and Stupid Gesture	https://www.imdb.com//title/tt5566790/?ref_=adv_li	6.8	55	9555	101
Shoplifters	https://www.imdb.com//title/tt8075192/?ref_=adv_li	8.1	93	8586	121
The Girl in the Spider's Web	https://www.imdb.com//title/tt5177088/?ref_=adv_li	6.1	43	8585	117
Three Identical Strangers	https://www.imdb.com//title/tt7664504/?ref_=adv_li	7.7	81	8393	96
Occupation	https://www.imdb.com//title/tt6774786/?ref_=adv_li	5.3	45	8384	119
Burning	https://www.imdb.com//title/tt7282468/?ref_=adv_li	7.7	90	8269	148
The Tale	https://www.imdb.com//title/tt4015500/?ref_=adv_li	7.3	90	8182	114
7 Days in Entebbe	https://www.imdb.com//title/tt5466186/?ref_=adv_li	5.8	49	8131	107
In Darkness	https://www.imdb.com//title/tt5164184/?ref_=adv_li	5.7	59	8117	110
The Miseducation of Cameron Post	https://www.imdb.com//title/tt6257174/?ref_=adv_li	6.7	69	8014	91
Everybody Knows	https://www.imdb.com//title/tt4964788/?ref_=adv_li	7.0	66	8006	132
The Hate U Give	https://www.imdb.com//title/tt5580266/?ref_=adv_li	7.0	82	7987	133
Breaking In	https://www.imdb.com//title/tt7137846/?ref_=adv_li	5.3	42	7923	88
Forever My Girl	https://www.imdb.com//title/tt4103724/?ref_=adv_li	6.7	36	7867	108
White Boy Rick	https://www.imdb.com//title/tt4537896/?ref_=adv_li	6.5	59	7856	111
Under the Silver Lake	https://www.imdb.com//title/tt5691670/?ref_=adv_li	6.4	59	7791	139
Mid90s	https://www.imdb.com//title/tt5613484/?ref_=adv_li	7.5	66	7764	85
The Wild Pear Tree	https://www.imdb.com//title/tt6628102/?ref_=adv_li	8.4	88	7710	188
Gotti	https://www.imdb.com//title/tt1801552/?ref_=adv_li	4.9	24	7710	112
The Old Man & the Gun	https://www.imdb.com//title/tt2837574/?ref_=adv_li	7.1	80	7559	93
Juliet, Naked	https://www.imdb.com//title/tt5607096/?ref_=adv_li	6.6	67	7345	97
Uncle Drew	https://www.imdb.com//title/tt7334528/?ref_=adv_li	5.7	57	7218	103
Dogman	https://www.imdb.com//title/tt6768578/?ref_=adv_li	7.4	75	7077	103
Fahrenheit 11/9	https://www.imdb.com//title/tt8632862/?ref_=adv_li	6.3	69	7021	128
Wildling	https://www.imdb.com//title/tt5085924/?ref_=adv_li	5.5	58	6947	92
Father of the Year	https://www.imdb.com//title/tt7256866/?ref_=adv_li	5.2	32	6839	94
Siberia	https://www.imdb.com//title/tt6494418/?ref_=adv_li	4.3	34	6819	104
Private Life	https://www.imdb.com//title/tt5536610/?ref_=adv_li	7.3	83	6805	123
Vice	https://www.imdb.com//title/tt6266538/?ref_=adv_li	7.1	61	6679	132
Sherlock Gnomes	https://www.imdb.com//title/tt2296777/?ref_=adv_li	5.1	36	6607	86
Active Measures	https://www.imdb.com//title/tt8135494/?ref_=adv_li	8.4	68	6590	109
Beautiful Boy	https://www.imdb.com//title/tt1226837/?ref_=adv_li	7.3	63	6473	120
Climax	https://www.imdb.com//title/tt8359848/?ref_=adv_li	7.7	83	6408	95
The Mule	https://www.imdb.com//title/tt7959026/?ref_=adv_li	7.2	58	6403	116
Acts of Violence	https://www.imdb.com//title/tt6684714/?ref_=adv_li	5.2	28	6391	86
Corredor Assombrado	https://www.imdb.com//title/tt2372251/?ref_=adv_li	5.2	56	6384	96
Kin	https://www.imdb.com//title/tt6017942/?ref_=adv_li	5.7	35	6324	102
Billionaire Boys Club	https://www.imdb.com//title/tt5179598/?ref_=adv_li	5.6	30	6294	108
Instant Family	https://www.imdb.com//title/tt7401588/?ref_=adv_li	7.6	57	6166	118
They Shall Not Grow Old	https://www.imdb.com//title/tt7905466/?ref_=adv_li	8.6	92	6088	99
Goosebumps 2: Haunted Halloween	https://www.imdb.com//title/tt5664636/?ref_=adv_li	5.7	53	5975	90
Proud Mary	https://www.imdb.com//title/tt6421110/?ref_=adv_li	4.9	35	5850	89
Spinning Man	https://www.imdb.com//title/tt5616294/?ref_=adv_li	5.6	44	5840	100
Death of a Nation	https://www.imdb.com//title/tt8564902/?ref_=adv_li	4.7	1	5386	108
Utøya: July 22	https://www.imdb.com//title/tt7959216/?ref_=adv_li	7.5	75	5372	93
Colette	https://www.imdb.com//title/tt5437928/?ref_=adv_li	6.8	74	5338	111
